"year","weeknum","month","MOI_County_living","Imported","Number_of_confirmed_cases"
1999,1,1,"Kaohsiung City","N",1
2002,1,1,"Kaohsiung City","N",1
2003,1,1,"Kaohsiung City","N",10
2007,1,1,"Kaohsiung City","N",6
2008,1,1,"Kaohsiung City","N",3
2010,1,1,"Kaohsiung City","N",9
2011,1,1,"Kaohsiung City","N",2
2012,1,1,"Kaohsiung City","N",6
2013,1,1,"Kaohsiung City","N",1
2015,1,1,"Kaohsiung City","N",14
2016,1,1,"Kaohsiung City","N",60
1999,2,1,"Kaohsiung City","N",6
2003,2,1,"Kaohsiung City","N",5
2005,2,1,"Kaohsiung City","N",1
2007,2,1,"Kaohsiung City","N",3
2010,2,1,"Kaohsiung City","N",10
2011,2,1,"Kaohsiung City","N",5
2012,2,1,"Kaohsiung City","N",1
2013,2,1,"Kaohsiung City","N",2
2015,2,1,"Kaohsiung City","N",15
2016,2,1,"Kaohsiung City","N",119
1998,3,1,"Kaohsiung City","N",1
1999,3,1,"Kaohsiung City","N",3
2003,3,1,"Kaohsiung City","N",8
2007,3,1,"Kaohsiung City","N",1
2010,3,1,"Kaohsiung City","N",8
2013,3,1,"Kaohsiung City","N",1
2014,3,1,"Kaohsiung City","N",1
2015,3,1,"Kaohsiung City","N",21
2016,3,1,"Kaohsiung City","N",94
1999,4,1,"Kaohsiung City","N",1
2002,4,1,"Kaohsiung City","N",2
2003,4,1,"Kaohsiung City","N",7
2005,4,1,"Kaohsiung City","N",1
2007,4,1,"Kaohsiung City","N",1
2010,4,1,"Kaohsiung City","N",6
2011,4,1,"Kaohsiung City","N",2
2013,4,1,"Kaohsiung City","N",1
2015,4,1,"Kaohsiung City","N",15
2016,4,1,"Kaohsiung City","N",32
1999,5,1,"Kaohsiung City","N",1
2002,5,1,"Kaohsiung City","N",1
2003,5,1,"Kaohsiung City","N",4
2005,5,1,"Kaohsiung City","N",2
2007,5,1,"Kaohsiung City","N",2
2010,5,1,"Kaohsiung City","N",3
2011,5,1,"Kaohsiung City","N",1
2015,5,1,"Kaohsiung City","N",5
2016,5,1,"Kaohsiung City","N",25
2005,6,1,"Kaohsiung City","N",2
2016,6,1,"Kaohsiung City","N",1
2012,5,2,"Kaohsiung City","N",1
1999,6,2,"Kaohsiung City","N",1
2002,6,2,"Kaohsiung City","N",1
2005,6,2,"Kaohsiung City","N",1
2010,6,2,"Kaohsiung City","N",1
2012,6,2,"Kaohsiung City","N",1
2015,6,2,"Kaohsiung City","N",7
2016,6,2,"Kaohsiung City","N",4
2002,7,2,"Kaohsiung City","N",1
2003,7,2,"Kaohsiung City","N",1
2005,7,2,"Kaohsiung City","N",2
2010,7,2,"Kaohsiung City","N",1
2011,7,2,"Kaohsiung City","N",1
2015,7,2,"Kaohsiung City","N",2
2016,7,2,"Kaohsiung City","N",2
1998,8,2,"Kaohsiung City","N",1
2011,8,2,"Kaohsiung City","N",1
2005,9,2,"Kaohsiung City","N",1
2015,9,2,"Kaohsiung City","N",1
2016,9,2,"Kaohsiung City","N",1
2007,9,3,"Kaohsiung City","N",3
1998,10,3,"Kaohsiung City","N",1
2003,10,3,"Kaohsiung City","N",2
2013,10,3,"Kaohsiung City","N",1
2016,10,3,"Kaohsiung City","N",1
2015,11,3,"Kaohsiung City","N",5
2009,12,3,"Kaohsiung City","N",1
2010,12,3,"Kaohsiung City","N",1
1998,13,3,"Kaohsiung City","N",2
2015,13,3,"Kaohsiung City","N",2
2010,14,3,"Kaohsiung City","N",1
2002,14,4,"Kaohsiung City","N",1
2015,14,4,"Kaohsiung City","N",1
2010,15,4,"Kaohsiung City","N",1
2015,15,4,"Kaohsiung City","N",1
1998,16,4,"Kaohsiung City","N",1
2002,16,4,"Kaohsiung City","N",2
2010,16,4,"Kaohsiung City","N",2
2015,16,4,"Kaohsiung City","N",1
2015,17,4,"Kaohsiung City","N",2
2016,17,4,"Kaohsiung City","N",1
2002,19,5,"Kaohsiung City","N",1
2010,19,5,"Kaohsiung City","N",1
2012,19,5,"Kaohsiung City","N",1
2015,19,5,"Kaohsiung City","N",3
2010,20,5,"Kaohsiung City","N",1
2012,20,5,"Kaohsiung City","N",1
2014,20,5,"Kaohsiung City","N",2
2015,20,5,"Kaohsiung City","N",8
1998,21,5,"Kaohsiung City","N",1
2014,21,5,"Kaohsiung City","N",5
2015,21,5,"Kaohsiung City","N",3
2002,22,5,"Kaohsiung City","N",4
2014,22,5,"Kaohsiung City","N",5
2015,22,5,"Kaohsiung City","N",4
2015,23,5,"Kaohsiung City","N",1
1998,23,6,"Kaohsiung City","N",1
2002,23,6,"Kaohsiung City","N",1
2014,23,6,"Kaohsiung City","N",8
2015,23,6,"Kaohsiung City","N",11
2002,24,6,"Kaohsiung City","N",14
2012,24,6,"Kaohsiung City","N",2
2014,24,6,"Kaohsiung City","N",26
2015,24,6,"Kaohsiung City","N",9
1998,25,6,"Kaohsiung City","N",1
2002,25,6,"Kaohsiung City","N",43
2007,25,6,"Kaohsiung City","N",1
2008,25,6,"Kaohsiung City","N",1
2014,25,6,"Kaohsiung City","N",16
2015,25,6,"Kaohsiung City","N",7
1998,26,6,"Kaohsiung City","N",1
2002,26,6,"Kaohsiung City","N",64
2006,26,6,"Kaohsiung City","N",2
2007,26,6,"Kaohsiung City","N",1
2008,26,6,"Kaohsiung City","N",3
2010,26,6,"Kaohsiung City","N",3
2012,26,6,"Kaohsiung City","N",2
2014,26,6,"Kaohsiung City","N",33
2015,26,6,"Kaohsiung City","N",4
1999,27,6,"Kaohsiung City","N",2
2002,27,6,"Kaohsiung City","N",18
2008,27,6,"Kaohsiung City","N",1
2014,27,6,"Kaohsiung City","N",9
1999,27,7,"Kaohsiung City","N",1
2001,27,7,"Kaohsiung City","N",1
2002,27,7,"Kaohsiung City","N",114
2006,27,7,"Kaohsiung City","N",3
2008,27,7,"Kaohsiung City","N",5
2012,27,7,"Kaohsiung City","N",2
2013,27,7,"Kaohsiung City","N",1
2014,27,7,"Kaohsiung City","N",37
2015,27,7,"Kaohsiung City","N",1
1999,28,7,"Kaohsiung City","N",2
2002,28,7,"Kaohsiung City","N",129
2006,28,7,"Kaohsiung City","N",20
2007,28,7,"Kaohsiung City","N",2
2008,28,7,"Kaohsiung City","N",11
2010,28,7,"Kaohsiung City","N",1
2012,28,7,"Kaohsiung City","N",5
2014,28,7,"Kaohsiung City","N",46
2015,28,7,"Kaohsiung City","N",3
2016,28,7,"Kaohsiung City","N",1
1998,29,7,"Kaohsiung City","N",1
1999,29,7,"Kaohsiung City","N",1
2002,29,7,"Kaohsiung City","N",121
2006,29,7,"Kaohsiung City","N",11
2007,29,7,"Kaohsiung City","N",2
2008,29,7,"Kaohsiung City","N",11
2010,29,7,"Kaohsiung City","N",1
2012,29,7,"Kaohsiung City","N",2
2014,29,7,"Kaohsiung City","N",71
2015,29,7,"Kaohsiung City","N",5
2017,29,7,"Kaohsiung City","N",2
1998,30,7,"Kaohsiung City","N",1
1999,30,7,"Kaohsiung City","N",1
2002,30,7,"Kaohsiung City","N",149
2006,30,7,"Kaohsiung City","N",14
2007,30,7,"Kaohsiung City","N",24
2008,30,7,"Kaohsiung City","N",4
2012,30,7,"Kaohsiung City","N",2
2014,30,7,"Kaohsiung City","N",101
2015,30,7,"Kaohsiung City","N",9
2017,30,7,"Kaohsiung City","N",1
1998,31,7,"Kaohsiung City","N",1
1999,31,7,"Kaohsiung City","N",4
2002,31,7,"Kaohsiung City","N",110
2006,31,7,"Kaohsiung City","N",2
2007,31,7,"Kaohsiung City","N",16
2008,31,7,"Kaohsiung City","N",5
2009,31,7,"Kaohsiung City","N",4
2011,31,7,"Kaohsiung City","N",3
2012,31,7,"Kaohsiung City","N",1
2014,31,7,"Kaohsiung City","N",111
2015,31,7,"Kaohsiung City","N",11
2002,31,8,"Kaohsiung City","N",100
2006,31,8,"Kaohsiung City","N",4
2007,31,8,"Kaohsiung City","N",9
2008,31,8,"Kaohsiung City","N",3
2009,31,8,"Kaohsiung City","N",1
2012,31,8,"Kaohsiung City","N",1
2014,31,8,"Kaohsiung City","N",64
2015,31,8,"Kaohsiung City","N",2
1998,32,8,"Kaohsiung City","N",1
1999,32,8,"Kaohsiung City","N",2
2002,32,8,"Kaohsiung City","N",190
2006,32,8,"Kaohsiung City","N",13
2007,32,8,"Kaohsiung City","N",2
2008,32,8,"Kaohsiung City","N",12
2009,32,8,"Kaohsiung City","N",26
2010,32,8,"Kaohsiung City","N",3
2011,32,8,"Kaohsiung City","N",3
2012,32,8,"Kaohsiung City","N",1
2014,32,8,"Kaohsiung City","N",136
2015,32,8,"Kaohsiung City","N",38
2016,32,8,"Kaohsiung City","N",1
1998,33,8,"Kaohsiung City","N",1
1999,33,8,"Kaohsiung City","N",2
2002,33,8,"Kaohsiung City","N",213
2005,33,8,"Kaohsiung City","N",4
2006,33,8,"Kaohsiung City","N",36
2007,33,8,"Kaohsiung City","N",2
2008,33,8,"Kaohsiung City","N",13
2009,33,8,"Kaohsiung City","N",14
2010,33,8,"Kaohsiung City","N",3
2011,33,8,"Kaohsiung City","N",7
2012,33,8,"Kaohsiung City","N",11
2014,33,8,"Kaohsiung City","N",231
2015,33,8,"Kaohsiung City","N",63
1999,34,8,"Kaohsiung City","N",2
2000,34,8,"Kaohsiung City","N",1
2002,34,8,"Kaohsiung City","N",278
2005,34,8,"Kaohsiung City","N",4
2006,34,8,"Kaohsiung City","N",35
2007,34,8,"Kaohsiung City","N",2
2008,34,8,"Kaohsiung City","N",22
2009,34,8,"Kaohsiung City","N",13
2010,34,8,"Kaohsiung City","N",25
2011,34,8,"Kaohsiung City","N",31
2012,34,8,"Kaohsiung City","N",7
2013,34,8,"Kaohsiung City","N",1
2014,34,8,"Kaohsiung City","N",226
2015,34,8,"Kaohsiung City","N",138
2002,35,8,"Kaohsiung City","N",238
2005,35,8,"Kaohsiung City","N",4
2006,35,8,"Kaohsiung City","N",18
2007,35,8,"Kaohsiung City","N",1
2008,35,8,"Kaohsiung City","N",15
2009,35,8,"Kaohsiung City","N",3
2010,35,8,"Kaohsiung City","N",19
2011,35,8,"Kaohsiung City","N",47
2012,35,8,"Kaohsiung City","N",15
2014,35,8,"Kaohsiung City","N",237
2015,35,8,"Kaohsiung City","N",135
2005,36,8,"Kaohsiung City","N",6
2008,36,8,"Kaohsiung City","N",3
2009,36,8,"Kaohsiung City","N",1
2010,36,8,"Kaohsiung City","N",6
2011,36,8,"Kaohsiung City","N",29
2014,36,8,"Kaohsiung City","N",43
2015,36,8,"Kaohsiung City","N",62
2001,35,9,"Kaohsiung City","N",1
2006,35,9,"Kaohsiung City","N",9
2012,35,9,"Kaohsiung City","N",4
2002,36,9,"Kaohsiung City","N",353
2004,36,9,"Kaohsiung City","N",1
2005,36,9,"Kaohsiung City","N",3
2006,36,9,"Kaohsiung City","N",25
2007,36,9,"Kaohsiung City","N",2
2008,36,9,"Kaohsiung City","N",7
2009,36,9,"Kaohsiung City","N",5
2010,36,9,"Kaohsiung City","N",22
2011,36,9,"Kaohsiung City","N",13
2012,36,9,"Kaohsiung City","N",14
2013,36,9,"Kaohsiung City","N",2
2014,36,9,"Kaohsiung City","N",324
2015,36,9,"Kaohsiung City","N",240
1998,37,9,"Kaohsiung City","N",5
2002,37,9,"Kaohsiung City","N",289
2004,37,9,"Kaohsiung City","N",2
2005,37,9,"Kaohsiung City","N",3
2006,37,9,"Kaohsiung City","N",47
2007,37,9,"Kaohsiung City","N",2
2008,37,9,"Kaohsiung City","N",17
2009,37,9,"Kaohsiung City","N",7
2010,37,9,"Kaohsiung City","N",36
2011,37,9,"Kaohsiung City","N",25
2012,37,9,"Kaohsiung City","N",24
2014,37,9,"Kaohsiung City","N",436
2015,37,9,"Kaohsiung City","N",390
2001,38,9,"Kaohsiung City","N",1
2002,38,9,"Kaohsiung City","N",256
2003,38,9,"Kaohsiung City","N",2
2004,38,9,"Kaohsiung City","N",1
2005,38,9,"Kaohsiung City","N",8
2006,38,9,"Kaohsiung City","N",37
2007,38,9,"Kaohsiung City","N",1
2008,38,9,"Kaohsiung City","N",8
2009,38,9,"Kaohsiung City","N",8
2010,38,9,"Kaohsiung City","N",68
2011,38,9,"Kaohsiung City","N",27
2012,38,9,"Kaohsiung City","N",15
2014,38,9,"Kaohsiung City","N",522
2015,38,9,"Kaohsiung City","N",571
1998,39,9,"Kaohsiung City","N",10
2001,39,9,"Kaohsiung City","N",2
2002,39,9,"Kaohsiung City","N",245
2003,39,9,"Kaohsiung City","N",7
2004,39,9,"Kaohsiung City","N",1
2005,39,9,"Kaohsiung City","N",3
2006,39,9,"Kaohsiung City","N",48
2008,39,9,"Kaohsiung City","N",2
2009,39,9,"Kaohsiung City","N",10
2010,39,9,"Kaohsiung City","N",52
2011,39,9,"Kaohsiung City","N",28
2012,39,9,"Kaohsiung City","N",25
2014,39,9,"Kaohsiung City","N",582
2015,39,9,"Kaohsiung City","N",559
1998,40,9,"Kaohsiung City","N",1
2001,40,9,"Kaohsiung City","N",1
2002,40,9,"Kaohsiung City","N",70
2003,40,9,"Kaohsiung City","N",1
2004,40,9,"Kaohsiung City","N",1
2005,40,9,"Kaohsiung City","N",4
2008,40,9,"Kaohsiung City","N",3
2009,40,9,"Kaohsiung City","N",6
2010,40,9,"Kaohsiung City","N",45
2011,40,9,"Kaohsiung City","N",31
2012,40,9,"Kaohsiung City","N",3
2014,40,9,"Kaohsiung City","N",328
2015,40,9,"Kaohsiung City","N",347
2001,40,10,"Kaohsiung City","N",18
2002,40,10,"Kaohsiung City","N",174
2003,40,10,"Kaohsiung City","N",6
2004,40,10,"Kaohsiung City","N",2
2005,40,10,"Kaohsiung City","N",2
2006,40,10,"Kaohsiung City","N",53
2007,40,10,"Kaohsiung City","N",3
2008,40,10,"Kaohsiung City","N",4
2009,40,10,"Kaohsiung City","N",1
2010,40,10,"Kaohsiung City","N",30
2011,40,10,"Kaohsiung City","N",6
2012,40,10,"Kaohsiung City","N",33
2014,40,10,"Kaohsiung City","N",529
2015,40,10,"Kaohsiung City","N",301
1998,41,10,"Kaohsiung City","N",3
2001,41,10,"Kaohsiung City","N",6
2002,41,10,"Kaohsiung City","N",205
2003,41,10,"Kaohsiung City","N",3
2004,41,10,"Kaohsiung City","N",3
2005,41,10,"Kaohsiung City","N",3
2006,41,10,"Kaohsiung City","N",48
2007,41,10,"Kaohsiung City","N",1
2008,41,10,"Kaohsiung City","N",16
2009,41,10,"Kaohsiung City","N",20
2010,41,10,"Kaohsiung City","N",50
2011,41,10,"Kaohsiung City","N",39
2012,41,10,"Kaohsiung City","N",20
2013,41,10,"Kaohsiung City","N",2
2014,41,10,"Kaohsiung City","N",897
2015,41,10,"Kaohsiung City","N",903
1998,42,10,"Kaohsiung City","N",2
2001,42,10,"Kaohsiung City","N",23
2002,42,10,"Kaohsiung City","N",206
2003,42,10,"Kaohsiung City","N",4
2004,42,10,"Kaohsiung City","N",3
2005,42,10,"Kaohsiung City","N",7
2006,42,10,"Kaohsiung City","N",63
2007,42,10,"Kaohsiung City","N",4
2008,42,10,"Kaohsiung City","N",39
2009,42,10,"Kaohsiung City","N",13
2010,42,10,"Kaohsiung City","N",70
2011,42,10,"Kaohsiung City","N",36
2012,42,10,"Kaohsiung City","N",30
2014,42,10,"Kaohsiung City","N",1304
2015,42,10,"Kaohsiung City","N",1084
1998,43,10,"Kaohsiung City","N",5
2001,43,10,"Kaohsiung City","N",15
2002,43,10,"Kaohsiung City","N",234
2003,43,10,"Kaohsiung City","N",6
2004,43,10,"Kaohsiung City","N",4
2005,43,10,"Kaohsiung City","N",11
2006,43,10,"Kaohsiung City","N",87
2007,43,10,"Kaohsiung City","N",12
2008,43,10,"Kaohsiung City","N",41
2009,43,10,"Kaohsiung City","N",45
2010,43,10,"Kaohsiung City","N",95
2011,43,10,"Kaohsiung City","N",73
2012,43,10,"Kaohsiung City","N",33
2014,43,10,"Kaohsiung City","N",1430
2015,43,10,"Kaohsiung City","N",1245
2001,44,10,"Kaohsiung City","N",15
2002,44,10,"Kaohsiung City","N",180
2003,44,10,"Kaohsiung City","N",2
2005,44,10,"Kaohsiung City","N",4
2006,44,10,"Kaohsiung City","N",32
2007,44,10,"Kaohsiung City","N",6
2008,44,10,"Kaohsiung City","N",30
2009,44,10,"Kaohsiung City","N",62
2010,44,10,"Kaohsiung City","N",69
2011,44,10,"Kaohsiung City","N",73
2012,44,10,"Kaohsiung City","N",26
2013,44,10,"Kaohsiung City","N",5
2014,44,10,"Kaohsiung City","N",1168
2015,44,10,"Kaohsiung City","N",1601
2005,45,10,"Kaohsiung City","N",3
2010,45,10,"Kaohsiung City","N",12
2011,45,10,"Kaohsiung City","N",14
2001,44,11,"Kaohsiung City","N",10
2002,44,11,"Kaohsiung City","N",72
2006,44,11,"Kaohsiung City","N",45
2007,44,11,"Kaohsiung City","N",2
2008,44,11,"Kaohsiung City","N",4
2012,44,11,"Kaohsiung City","N",24
2013,44,11,"Kaohsiung City","N",3
2014,44,11,"Kaohsiung City","N",229
1998,45,11,"Kaohsiung City","N",5
2001,45,11,"Kaohsiung City","N",8
2002,45,11,"Kaohsiung City","N",134
2003,45,11,"Kaohsiung City","N",1
2004,45,11,"Kaohsiung City","N",3
2005,45,11,"Kaohsiung City","N",9
2006,45,11,"Kaohsiung City","N",62
2007,45,11,"Kaohsiung City","N",14
2008,45,11,"Kaohsiung City","N",46
2009,45,11,"Kaohsiung City","N",68
2010,45,11,"Kaohsiung City","N",54
2011,45,11,"Kaohsiung City","N",66
2012,45,11,"Kaohsiung City","N",41
2013,45,11,"Kaohsiung City","N",11
2014,45,11,"Kaohsiung City","N",1473
2015,45,11,"Kaohsiung City","N",1829
1998,46,11,"Kaohsiung City","N",12
2001,46,11,"Kaohsiung City","N",40
2002,46,11,"Kaohsiung City","N",155
2005,46,11,"Kaohsiung City","N",21
2006,46,11,"Kaohsiung City","N",37
2007,46,11,"Kaohsiung City","N",17
2008,46,11,"Kaohsiung City","N",31
2009,46,11,"Kaohsiung City","N",81
2010,46,11,"Kaohsiung City","N",77
2011,46,11,"Kaohsiung City","N",119
2012,46,11,"Kaohsiung City","N",51
2013,46,11,"Kaohsiung City","N",6
2014,46,11,"Kaohsiung City","N",1173
2015,46,11,"Kaohsiung City","N",2196
1998,47,11,"Kaohsiung City","N",7
2001,47,11,"Kaohsiung City","N",22
2002,47,11,"Kaohsiung City","N",135
2003,47,11,"Kaohsiung City","N",2
2004,47,11,"Kaohsiung City","N",5
2005,47,11,"Kaohsiung City","N",13
2006,47,11,"Kaohsiung City","N",52
2007,47,11,"Kaohsiung City","N",19
2008,47,11,"Kaohsiung City","N",29
2009,47,11,"Kaohsiung City","N",86
2010,47,11,"Kaohsiung City","N",51
2011,47,11,"Kaohsiung City","N",120
2012,47,11,"Kaohsiung City","N",33
2013,47,11,"Kaohsiung City","N",5
2014,47,11,"Kaohsiung City","N",978
2015,47,11,"Kaohsiung City","N",2568
1998,48,11,"Kaohsiung City","N",10
2001,48,11,"Kaohsiung City","N",11
2002,48,11,"Kaohsiung City","N",104
2004,48,11,"Kaohsiung City","N",11
2005,48,11,"Kaohsiung City","N",3
2006,48,11,"Kaohsiung City","N",32
2007,48,11,"Kaohsiung City","N",11
2008,48,11,"Kaohsiung City","N",17
2009,48,11,"Kaohsiung City","N",65
2010,48,11,"Kaohsiung City","N",67
2011,48,11,"Kaohsiung City","N",98
2012,48,11,"Kaohsiung City","N",18
2013,48,11,"Kaohsiung City","N",7
2014,48,11,"Kaohsiung City","N",830
2015,48,11,"Kaohsiung City","N",1888
1998,49,11,"Kaohsiung City","N",1
2005,49,11,"Kaohsiung City","N",3
2009,49,11,"Kaohsiung City","N",17
2010,49,11,"Kaohsiung City","N",26
2011,49,11,"Kaohsiung City","N",52
2014,49,11,"Kaohsiung City","N",104
2015,49,11,"Kaohsiung City","N",433
2001,48,12,"Kaohsiung City","N",3
2006,48,12,"Kaohsiung City","N",25
2012,48,12,"Kaohsiung City","N",2
1998,49,12,"Kaohsiung City","N",3
2001,49,12,"Kaohsiung City","N",14
2002,49,12,"Kaohsiung City","N",70
2004,49,12,"Kaohsiung City","N",2
2005,49,12,"Kaohsiung City","N",4
2006,49,12,"Kaohsiung City","N",44
2007,49,12,"Kaohsiung City","N",3
2008,49,12,"Kaohsiung City","N",8
2009,49,12,"Kaohsiung City","N",58
2010,49,12,"Kaohsiung City","N",25
2011,49,12,"Kaohsiung City","N",44
2012,49,12,"Kaohsiung City","N",13
2013,49,12,"Kaohsiung City","N",13
2014,49,12,"Kaohsiung City","N",569
2015,49,12,"Kaohsiung City","N",888
1998,50,12,"Kaohsiung City","N",4
2001,50,12,"Kaohsiung City","N",12
2002,50,12,"Kaohsiung City","N",77
2004,50,12,"Kaohsiung City","N",5
2005,50,12,"Kaohsiung City","N",4
2006,50,12,"Kaohsiung City","N",24
2007,50,12,"Kaohsiung City","N",3
2008,50,12,"Kaohsiung City","N",7
2009,50,12,"Kaohsiung City","N",44
2010,50,12,"Kaohsiung City","N",62
2011,50,12,"Kaohsiung City","N",71
2012,50,12,"Kaohsiung City","N",11
2013,50,12,"Kaohsiung City","N",7
2014,50,12,"Kaohsiung City","N",402
2015,50,12,"Kaohsiung City","N",893
1998,51,12,"Kaohsiung City","N",6
1999,51,12,"Kaohsiung City","N",3
2001,51,12,"Kaohsiung City","N",8
2002,51,12,"Kaohsiung City","N",38
2004,51,12,"Kaohsiung City","N",2
2006,51,12,"Kaohsiung City","N",4
2007,51,12,"Kaohsiung City","N",1
2008,51,12,"Kaohsiung City","N",2
2009,51,12,"Kaohsiung City","N",40
2010,51,12,"Kaohsiung City","N",33
2011,51,12,"Kaohsiung City","N",64
2012,51,12,"Kaohsiung City","N",13
2013,51,12,"Kaohsiung City","N",1
2014,51,12,"Kaohsiung City","N",200
2015,51,12,"Kaohsiung City","N",626
1998,52,12,"Kaohsiung City","N",9
2001,52,12,"Kaohsiung City","N",5
2002,52,12,"Kaohsiung City","N",12
2004,52,12,"Kaohsiung City","N",1
2006,52,12,"Kaohsiung City","N",9
2007,52,12,"Kaohsiung City","N",1
2008,52,12,"Kaohsiung City","N",1
2009,52,12,"Kaohsiung City","N",40
2010,52,12,"Kaohsiung City","N",13
2011,52,12,"Kaohsiung City","N",25
2012,52,12,"Kaohsiung City","N",11
2014,52,12,"Kaohsiung City","N",85
2015,52,12,"Kaohsiung City","N",360
1998,53,12,"Kaohsiung City","N",8
2002,53,12,"Kaohsiung City","N",6
2004,53,12,"Kaohsiung City","N",1
2006,53,12,"Kaohsiung City","N",1
2007,53,12,"Kaohsiung City","N",1
2009,53,12,"Kaohsiung City","N",9
2010,53,12,"Kaohsiung City","N",12
2011,53,12,"Kaohsiung City","N",12
2012,53,12,"Kaohsiung City","N",1
2014,53,12,"Kaohsiung City","N",28
2015,53,12,"Kaohsiung City","N",192
1998,1,1,"Pingtung County","N",1
2008,1,1,"Pingtung County","N",1
2014,1,1,"Pingtung County","N",2
2015,1,1,"Pingtung County","N",1
2016,1,1,"Pingtung County","N",1
2000,2,1,"Pingtung County","N",1
2003,2,1,"Pingtung County","N",1
