"year","weeknum","month","MOI_County_living","Imported","Number_of_confirmed_cases"
2000,6,2,"Kaohsiung City","Y",1
2006,6,2,"Kaohsiung City","Y",1
2009,6,2,"Kaohsiung City","Y",1
2011,6,2,"Kaohsiung City","Y",1
2013,6,2,"Kaohsiung City","Y",1
2014,6,2,"Kaohsiung City","Y",2
2015,6,2,"Kaohsiung City","Y",2
2016,6,2,"Kaohsiung City","Y",1
2004,7,2,"Kaohsiung City","Y",1
2006,7,2,"Kaohsiung City","Y",1
2010,7,2,"Kaohsiung City","Y",1
2011,7,2,"Kaohsiung City","Y",1
2013,7,2,"Kaohsiung City","Y",2
2014,7,2,"Kaohsiung City","Y",1
2015,7,2,"Kaohsiung City","Y",1
2017,7,2,"Kaohsiung City","Y",3
1998,8,2,"Kaohsiung City","Y",1
2014,8,2,"Kaohsiung City","Y",1
2018,8,2,"Kaohsiung City","Y",1
2018,9,2,"Kaohsiung City","Y",1
2009,10,3,"Kaohsiung City","Y",1
2012,10,3,"Kaohsiung City","Y",1
2013,10,3,"Kaohsiung City","Y",1
2018,10,3,"Kaohsiung City","Y",1
2009,11,3,"Kaohsiung City","Y",2
2010,11,3,"Kaohsiung City","Y",1
2000,12,3,"Kaohsiung City","Y",1
2004,12,3,"Kaohsiung City","Y",1
2007,12,3,"Kaohsiung City","Y",1
2008,12,3,"Kaohsiung City","Y",1
2017,12,3,"Kaohsiung City","Y",1
2008,13,3,"Kaohsiung City","Y",1
2015,14,3,"Kaohsiung City","Y",2
2006,14,4,"Kaohsiung City","Y",1
2013,14,4,"Kaohsiung City","Y",1
2014,14,4,"Kaohsiung City","Y",1
2015,14,4,"Kaohsiung City","Y",3
2016,14,4,"Kaohsiung City","Y",1
2004,15,4,"Kaohsiung City","Y",1
2009,15,4,"Kaohsiung City","Y",1
1999,16,4,"Kaohsiung City","Y",1
2008,16,4,"Kaohsiung City","Y",1
2010,16,4,"Kaohsiung City","Y",1
2012,16,4,"Kaohsiung City","Y",1
2014,16,4,"Kaohsiung City","Y",1
2010,17,4,"Kaohsiung City","Y",1
2014,17,4,"Kaohsiung City","Y",3
2016,17,4,"Kaohsiung City","Y",1
2017,17,4,"Kaohsiung City","Y",1
2002,18,4,"Kaohsiung City","Y",1
2015,18,4,"Kaohsiung City","Y",3
2016,18,4,"Kaohsiung City","Y",1
2015,18,5,"Kaohsiung City","Y",1
2017,18,5,"Kaohsiung City","Y",1
2001,19,5,"Kaohsiung City","Y",1
2003,19,5,"Kaohsiung City","Y",1
2006,19,5,"Kaohsiung City","Y",2
2007,19,5,"Kaohsiung City","Y",1
2009,19,5,"Kaohsiung City","Y",1
2010,19,5,"Kaohsiung City","Y",1
2013,19,5,"Kaohsiung City","Y",1
2016,19,5,"Kaohsiung City","Y",1
2009,20,5,"Kaohsiung City","Y",1
2017,20,5,"Kaohsiung City","Y",1
2008,21,5,"Kaohsiung City","Y",1
2012,21,5,"Kaohsiung City","Y",3
2011,22,5,"Kaohsiung City","Y",1
2012,22,5,"Kaohsiung City","Y",1
2014,22,5,"Kaohsiung City","Y",1
2015,22,5,"Kaohsiung City","Y",2
2006,22,6,"Kaohsiung City","Y",1
2012,22,6,"Kaohsiung City","Y",1
1999,23,6,"Kaohsiung City","Y",1
2005,23,6,"Kaohsiung City","Y",1
2007,23,6,"Kaohsiung City","Y",1
2016,23,6,"Kaohsiung City","Y",1
2017,23,6,"Kaohsiung City","Y",2
2008,24,6,"Kaohsiung City","Y",1
2009,24,6,"Kaohsiung City","Y",1
2013,24,6,"Kaohsiung City","Y",1
2014,24,6,"Kaohsiung City","Y",1
2000,25,6,"Kaohsiung City","Y",1
2007,25,6,"Kaohsiung City","Y",1
2009,25,6,"Kaohsiung City","Y",1
2010,25,6,"Kaohsiung City","Y",1
2011,25,6,"Kaohsiung City","Y",1
2012,25,6,"Kaohsiung City","Y",1
2013,25,6,"Kaohsiung City","Y",1
2014,25,6,"Kaohsiung City","Y",1
2017,25,6,"Kaohsiung City","Y",1
2001,26,6,"Kaohsiung City","Y",1
2007,26,6,"Kaohsiung City","Y",1
2013,26,6,"Kaohsiung City","Y",2
2015,26,6,"Kaohsiung City","Y",1
2017,26,6,"Kaohsiung City","Y",2
2003,27,6,"Kaohsiung City","Y",1
2016,27,6,"Kaohsiung City","Y",1
2007,27,7,"Kaohsiung City","Y",1
2008,27,7,"Kaohsiung City","Y",1
2010,27,7,"Kaohsiung City","Y",1
2012,27,7,"Kaohsiung City","Y",1
2013,27,7,"Kaohsiung City","Y",1
2014,27,7,"Kaohsiung City","Y",1
2017,27,7,"Kaohsiung City","Y",2
2001,28,7,"Kaohsiung City","Y",1
2006,28,7,"Kaohsiung City","Y",1
2009,28,7,"Kaohsiung City","Y",2
2011,28,7,"Kaohsiung City","Y",1
2012,28,7,"Kaohsiung City","Y",3
2013,28,7,"Kaohsiung City","Y",1
2015,28,7,"Kaohsiung City","Y",1
2016,28,7,"Kaohsiung City","Y",1
2017,28,7,"Kaohsiung City","Y",2
2001,29,7,"Kaohsiung City","Y",2
2003,29,7,"Kaohsiung City","Y",1
2007,29,7,"Kaohsiung City","Y",1
2012,29,7,"Kaohsiung City","Y",2
2013,29,7,"Kaohsiung City","Y",3
2015,29,7,"Kaohsiung City","Y",2
2017,29,7,"Kaohsiung City","Y",2
2005,30,7,"Kaohsiung City","Y",1
2006,30,7,"Kaohsiung City","Y",2
2009,30,7,"Kaohsiung City","Y",1
2010,30,7,"Kaohsiung City","Y",1
2011,30,7,"Kaohsiung City","Y",1
2012,30,7,"Kaohsiung City","Y",1
2014,30,7,"Kaohsiung City","Y",2
2017,30,7,"Kaohsiung City","Y",1
2004,31,7,"Kaohsiung City","Y",1
2007,31,7,"Kaohsiung City","Y",1
2008,31,7,"Kaohsiung City","Y",1
2009,31,7,"Kaohsiung City","Y",1
2011,31,7,"Kaohsiung City","Y",2
2014,31,7,"Kaohsiung City","Y",1
2015,31,7,"Kaohsiung City","Y",2
2016,31,7,"Kaohsiung City","Y",1
2001,31,8,"Kaohsiung City","Y",1
2008,31,8,"Kaohsiung City","Y",1
2012,31,8,"Kaohsiung City","Y",1
2013,31,8,"Kaohsiung City","Y",1
2017,31,8,"Kaohsiung City","Y",1
2004,32,8,"Kaohsiung City","Y",1
2008,32,8,"Kaohsiung City","Y",1
2009,32,8,"Kaohsiung City","Y",1
2010,32,8,"Kaohsiung City","Y",3
2012,32,8,"Kaohsiung City","Y",2
2013,32,8,"Kaohsiung City","Y",1
2014,32,8,"Kaohsiung City","Y",1
2016,32,8,"Kaohsiung City","Y",1
1998,33,8,"Kaohsiung City","Y",1
2003,33,8,"Kaohsiung City","Y",1
2008,33,8,"Kaohsiung City","Y",1
2009,33,8,"Kaohsiung City","Y",1
2010,33,8,"Kaohsiung City","Y",1
2011,33,8,"Kaohsiung City","Y",3
2013,33,8,"Kaohsiung City","Y",1
2014,33,8,"Kaohsiung City","Y",2
2015,33,8,"Kaohsiung City","Y",1
2016,33,8,"Kaohsiung City","Y",1
2017,33,8,"Kaohsiung City","Y",2
2007,34,8,"Kaohsiung City","Y",1
2008,34,8,"Kaohsiung City","Y",1
2011,34,8,"Kaohsiung City","Y",1
2015,34,8,"Kaohsiung City","Y",4
2016,34,8,"Kaohsiung City","Y",1
2006,35,8,"Kaohsiung City","Y",1
2008,35,8,"Kaohsiung City","Y",1
2009,35,8,"Kaohsiung City","Y",1
2010,35,8,"Kaohsiung City","Y",1
2012,35,8,"Kaohsiung City","Y",2
2013,35,8,"Kaohsiung City","Y",2
2015,35,8,"Kaohsiung City","Y",2
2016,35,8,"Kaohsiung City","Y",2
2017,35,8,"Kaohsiung City","Y",1
2004,36,8,"Kaohsiung City","Y",1
2010,36,8,"Kaohsiung City","Y",1
2016,36,8,"Kaohsiung City","Y",2
2007,36,9,"Kaohsiung City","Y",1
2008,36,9,"Kaohsiung City","Y",2
2014,36,9,"Kaohsiung City","Y",1
2015,36,9,"Kaohsiung City","Y",2
2017,36,9,"Kaohsiung City","Y",1
1998,37,9,"Kaohsiung City","Y",1
1999,37,9,"Kaohsiung City","Y",1
2004,37,9,"Kaohsiung City","Y",1
2005,37,9,"Kaohsiung City","Y",1
2007,37,9,"Kaohsiung City","Y",1
2008,37,9,"Kaohsiung City","Y",1
2010,37,9,"Kaohsiung City","Y",1
2011,37,9,"Kaohsiung City","Y",1
2012,37,9,"Kaohsiung City","Y",1
2013,37,9,"Kaohsiung City","Y",1
2014,37,9,"Kaohsiung City","Y",2
2015,37,9,"Kaohsiung City","Y",2
2017,37,9,"Kaohsiung City","Y",1
2004,38,9,"Kaohsiung City","Y",1
2010,38,9,"Kaohsiung City","Y",3
2013,38,9,"Kaohsiung City","Y",1
2014,38,9,"Kaohsiung City","Y",2
2015,38,9,"Kaohsiung City","Y",3
2016,38,9,"Kaohsiung City","Y",1
2008,39,9,"Kaohsiung City","Y",1
2010,39,9,"Kaohsiung City","Y",2
2014,39,9,"Kaohsiung City","Y",2
2016,39,9,"Kaohsiung City","Y",1
2010,40,9,"Kaohsiung City","Y",2
2011,40,9,"Kaohsiung City","Y",1
2013,40,9,"Kaohsiung City","Y",1
2016,40,9,"Kaohsiung City","Y",1
2001,40,10,"Kaohsiung City","Y",1
2007,40,10,"Kaohsiung City","Y",1
2001,41,10,"Kaohsiung City","Y",1
2004,41,10,"Kaohsiung City","Y",1
2007,41,10,"Kaohsiung City","Y",1
2008,41,10,"Kaohsiung City","Y",1
2010,41,10,"Kaohsiung City","Y",2
2012,41,10,"Kaohsiung City","Y",1
2013,41,10,"Kaohsiung City","Y",1
2014,41,10,"Kaohsiung City","Y",3
2015,41,10,"Kaohsiung City","Y",2
2016,41,10,"Kaohsiung City","Y",2
2004,42,10,"Kaohsiung City","Y",1
2005,42,10,"Kaohsiung City","Y",1
2007,42,10,"Kaohsiung City","Y",2
2013,42,10,"Kaohsiung City","Y",1
2015,42,10,"Kaohsiung City","Y",3
2016,42,10,"Kaohsiung City","Y",1
2017,42,10,"Kaohsiung City","Y",1
2001,43,10,"Kaohsiung City","Y",1
2005,43,10,"Kaohsiung City","Y",1
2009,43,10,"Kaohsiung City","Y",1
2011,43,10,"Kaohsiung City","Y",1
2014,43,10,"Kaohsiung City","Y",3
2015,43,10,"Kaohsiung City","Y",2
2003,44,10,"Kaohsiung City","Y",1
2010,44,10,"Kaohsiung City","Y",1
2013,44,10,"Kaohsiung City","Y",1
2014,44,10,"Kaohsiung City","Y",1
2015,44,10,"Kaohsiung City","Y",1
2016,44,10,"Kaohsiung City","Y",1
2014,44,11,"Kaohsiung City","Y",1
2017,44,11,"Kaohsiung City","Y",1
2001,45,11,"Kaohsiung City","Y",2
2007,45,11,"Kaohsiung City","Y",2
2009,45,11,"Kaohsiung City","Y",3
2013,45,11,"Kaohsiung City","Y",1
2014,45,11,"Kaohsiung City","Y",1
2004,46,11,"Kaohsiung City","Y",1
2009,46,11,"Kaohsiung City","Y",1
2010,46,11,"Kaohsiung City","Y",1
2015,46,11,"Kaohsiung City","Y",3
2016,46,11,"Kaohsiung City","Y",2
2017,46,11,"Kaohsiung City","Y",1
1999,47,11,"Kaohsiung City","Y",2
2006,47,11,"Kaohsiung City","Y",1
2008,47,11,"Kaohsiung City","Y",1
2010,47,11,"Kaohsiung City","Y",2
2014,47,11,"Kaohsiung City","Y",1
2015,47,11,"Kaohsiung City","Y",1
2016,47,11,"Kaohsiung City","Y",1
2017,47,11,"Kaohsiung City","Y",1
2006,48,11,"Kaohsiung City","Y",2
2014,48,11,"Kaohsiung City","Y",1
2017,48,11,"Kaohsiung City","Y",1
1999,49,11,"Kaohsiung City","Y",1
2004,49,11,"Kaohsiung City","Y",1
2005,49,11,"Kaohsiung City","Y",1
2009,49,11,"Kaohsiung City","Y",1
2010,49,11,"Kaohsiung City","Y",1
2014,49,11,"Kaohsiung City","Y",1
2006,48,12,"Kaohsiung City","Y",1
2008,49,12,"Kaohsiung City","Y",1
2014,49,12,"Kaohsiung City","Y",1
2015,49,12,"Kaohsiung City","Y",1
1998,50,12,"Kaohsiung City","Y",1
2001,50,12,"Kaohsiung City","Y",1
2012,50,12,"Kaohsiung City","Y",1
2014,50,12,"Kaohsiung City","Y",1
2015,50,12,"Kaohsiung City","Y",4
2016,50,12,"Kaohsiung City","Y",3
2005,51,12,"Kaohsiung City","Y",1
2007,51,12,"Kaohsiung City","Y",1
2013,51,12,"Kaohsiung City","Y",1
2014,51,12,"Kaohsiung City","Y",1
2015,51,12,"Kaohsiung City","Y",1
2016,51,12,"Kaohsiung City","Y",1
2011,52,12,"Kaohsiung City","Y",1
2013,52,12,"Kaohsiung City","Y",1
2014,52,12,"Kaohsiung City","Y",1
2015,52,12,"Kaohsiung City","Y",2
2016,52,12,"Kaohsiung City","Y",2
2009,53,12,"Kaohsiung City","Y",1
2015,53,12,"Kaohsiung City","Y",1
1998,1,1,"Pingtung County","Y",1
2004,2,1,"Pingtung County","Y",1
2018,2,1,"Pingtung County","Y",1
2000,3,1,"Pingtung County","Y",1
2002,3,1,"Pingtung County","Y",1
2017,6,2,"Pingtung County","Y",1
2005,7,2,"Pingtung County","Y",1
2014,7,2,"Pingtung County","Y",1
2014,8,2,"Pingtung County","Y",1
2017,8,2,"Pingtung County","Y",1
2000,9,2,"Pingtung County","Y",1
2016,9,2,"Pingtung County","Y",1
2003,10,3,"Pingtung County","Y",1
2005,10,3,"Pingtung County","Y",1
2006,10,3,"Pingtung County","Y",1
2012,12,3,"Pingtung County","Y",1
2009,14,3,"Pingtung County","Y",1
2010,14,4,"Pingtung County","Y",1
2009,15,4,"Pingtung County","Y",1
2012,15,4,"Pingtung County","Y",1
2004,18,4,"Pingtung County","Y",1
2007,20,5,"Pingtung County","Y",1
2012,20,5,"Pingtung County","Y",1
2013,20,5,"Pingtung County","Y",1
1999,21,5,"Pingtung County","Y",1
2015,21,5,"Pingtung County","Y",1
2016,21,5,"Pingtung County","Y",1
2013,22,5,"Pingtung County","Y",1
2015,22,5,"Pingtung County","Y",1
2007,23,6,"Pingtung County","Y",1
2017,23,6,"Pingtung County","Y",1
2006,24,6,"Pingtung County","Y",1
2016,25,6,"Pingtung County","Y",1
2005,26,6,"Pingtung County","Y",1
2015,27,6,"Pingtung County","Y",1
2002,27,7,"Pingtung County","Y",1
2009,27,7,"Pingtung County","Y",1
1998,28,7,"Pingtung County","Y",2
2008,28,7,"Pingtung County","Y",3
2015,28,7,"Pingtung County","Y",1
2016,28,7,"Pingtung County","Y",2
2017,28,7,"Pingtung County","Y",1
1998,29,7,"Pingtung County","Y",1
2004,29,7,"Pingtung County","Y",1
2008,29,7,"Pingtung County","Y",2
2007,30,7,"Pingtung County","Y",1
2010,30,7,"Pingtung County","Y",1
2016,30,7,"Pingtung County","Y",1
2013,31,7,"Pingtung County","Y",1
2016,32,7,"Pingtung County","Y",1
2007,31,8,"Pingtung County","Y",1
2013,31,8,"Pingtung County","Y",1
2014,31,8,"Pingtung County","Y",1
2017,31,8,"Pingtung County","Y",2
2005,32,8,"Pingtung County","Y",1
2006,32,8,"Pingtung County","Y",1
2010,32,8,"Pingtung County","Y",1
2016,32,8,"Pingtung County","Y",1
2004,33,8,"Pingtung County","Y",1
2006,33,8,"Pingtung County","Y",1
2009,33,8,"Pingtung County","Y",1
2003,34,8,"Pingtung County","Y",1
2004,34,8,"Pingtung County","Y",1
2008,34,8,"Pingtung County","Y",2
2015,34,8,"Pingtung County","Y",1
2005,35,8,"Pingtung County","Y",2
2006,35,8,"Pingtung County","Y",1
2016,35,8,"Pingtung County","Y",2
2004,36,8,"Pingtung County","Y",2
2010,36,8,"Pingtung County","Y",1
2015,36,8,"Pingtung County","Y",1
2014,37,9,"Pingtung County","Y",1
2015,37,9,"Pingtung County","Y",2
2014,38,9,"Pingtung County","Y",1
2001,39,9,"Pingtung County","Y",1
2003,39,9,"Pingtung County","Y",1
2006,39,9,"Pingtung County","Y",1
2008,39,9,"Pingtung County","Y",1
2015,39,9,"Pingtung County","Y",1
2016,40,10,"Pingtung County","Y",1
2017,40,10,"Pingtung County","Y",1
2005,41,10,"Pingtung County","Y",1
2001,42,10,"Pingtung County","Y",1
2003,42,10,"Pingtung County","Y",1
2010,42,10,"Pingtung County","Y",1
2012,42,10,"Pingtung County","Y",1
2016,42,10,"Pingtung County","Y",1
2008,43,10,"Pingtung County","Y",1
2010,43,10,"Pingtung County","Y",1
2002,44,10,"Pingtung County","Y",1
2003,44,10,"Pingtung County","Y",1
2015,44,10,"Pingtung County","Y",1
2016,44,10,"Pingtung County","Y",2
2017,44,10,"Pingtung County","Y",1
2007,45,11,"Pingtung County","Y",1
2015,45,11,"Pingtung County","Y",1
2002,48,11,"Pingtung County","Y",1
2009,48,11,"Pingtung County","Y",1
2007,49,12,"Pingtung County","Y",1
2015,49,12,"Pingtung County","Y",1
1999,50,12,"Pingtung County","Y",1
2002,50,12,"Pingtung County","Y",1
2010,51,12,"Pingtung County","Y",1
2006,52,12,"Pingtung County","Y",1
2013,52,12,"Pingtung County","Y",1
2005,53,12,"Pingtung County","Y",1
2012,1,1,"Tainan City","Y",1
2013,1,1,"Tainan City","Y",1
2017,1,1,"Tainan City","Y",2
2013,2,1,"Tainan City","Y",1
2016,2,1,"Tainan City","Y",1
2014,3,1,"Tainan City","Y",1
2018,3,1,"Tainan City","Y",1
2013,4,1,"Tainan City","Y",1
2017,4,1,"Tainan City","Y",1
2015,5,1,"Tainan City","Y",1
2010,6,1,"Tainan City","Y",1
1999,6,2,"Tainan City","Y",1
2014,6,2,"Tainan City","Y",1
1998,7,2,"Tainan City","Y",1
2008,7,2,"Tainan City","Y",1
2010,7,2,"Tainan City","Y",1
2013,7,2,"Tainan City","Y",2
2016,7,2,"Tainan City","Y",1
2003,8,2,"Tainan City","Y",1
2007,8,2,"Tainan City","Y",1
2010,8,2,"Tainan City","Y",1
2013,8,2,"Tainan City","Y",1
2015,8,2,"Tainan City","Y",1
2017,8,2,"Tainan City","Y",1
2007,9,2,"Tainan City","Y",1
2016,9,2,"Tainan City","Y",2
2016,10,2,"Tainan City","Y",1
2018,9,3,"Tainan City","Y",1
2008,11,3,"Tainan City","Y",1
1999,13,3,"Tainan City","Y",1
2006,13,3,"Tainan City","Y",1
2007,13,3,"Tainan City","Y",1
2015,14,4,"Tainan City","Y",1
2004,15,4,"Tainan City","Y",1
2007,15,4,"Tainan City","Y",1
2012,15,4,"Tainan City","Y",1
2017,15,4,"Tainan City","Y",1
2006,16,4,"Tainan City","Y",1
2007,16,4,"Tainan City","Y",2
2005,17,4,"Tainan City","Y",1
2012,17,4,"Tainan City","Y",1
2013,17,4,"Tainan City","Y",1
2002,18,5,"Tainan City","Y",1
2004,19,5,"Tainan City","Y",1
2010,19,5,"Tainan City","Y",1
2012,21,5,"Tainan City","Y",1
2015,21,5,"Tainan City","Y",1
2016,21,5,"Tainan City","Y",1
2002,22,5,"Tainan City","Y",1
2011,22,5,"Tainan City","Y",1
2014,22,5,"Tainan City","Y",1
2001,23,6,"Tainan City","Y",1
2009,23,6,"Tainan City","Y",2
2015,23,6,"Tainan City","Y",1
2002,24,6,"Tainan City","Y",1
2007,24,6,"Tainan City","Y",2
2006,26,6,"Tainan City","Y",1
2008,26,6,"Tainan City","Y",3
2015,26,6,"Tainan City","Y",1
2016,26,6,"Tainan City","Y",3
2012,27,7,"Tainan City","Y",1
2008,28,7,"Tainan City","Y",1
2012,28,7,"Tainan City","Y",1
2017,28,7,"Tainan City","Y",3
2005,29,7,"Tainan City","Y",1
2006,29,7,"Tainan City","Y",1
2008,29,7,"Tainan City","Y",1
2014,29,7,"Tainan City","Y",1
2016,29,7,"Tainan City","Y",1
2017,29,7,"Tainan City","Y",1
2002,30,7,"Tainan City","Y",1
2003,30,7,"Tainan City","Y",1
2007,30,7,"Tainan City","Y",3
2014,30,7,"Tainan City","Y",1
2016,30,7,"Tainan City","Y",1
2017,30,7,"Tainan City","Y",1
2011,31,7,"Tainan City","Y",2
2013,31,7,"Tainan City","Y",1
2016,31,7,"Tainan City","Y",1
2007,32,8,"Tainan City","Y",1
2009,32,8,"Tainan City","Y",1
2011,32,8,"Tainan City","Y",1
2013,32,8,"Tainan City","Y",1
2014,32,8,"Tainan City","Y",1
2015,32,8,"Tainan City","Y",1
2016,32,8,"Tainan City","Y",1
2017,32,8,"Tainan City","Y",1
2007,33,8,"Tainan City","Y",1
2008,33,8,"Tainan City","Y",1
2011,33,8,"Tainan City","Y",2
2015,33,8,"Tainan City","Y",1
2009,34,8,"Tainan City","Y",1
2011,34,8,"Tainan City","Y",2
2013,34,8,"Tainan City","Y",2
2016,34,8,"Tainan City","Y",1
2017,34,8,"Tainan City","Y",1
2004,35,8,"Tainan City","Y",2
2007,35,8,"Tainan City","Y",1
2008,35,8,"Tainan City","Y",1
2009,35,8,"Tainan City","Y",1
2010,35,8,"Tainan City","Y",1
2012,35,8,"Tainan City","Y",1
2014,35,8,"Tainan City","Y",2
2016,35,8,"Tainan City","Y",2
2010,36,8,"Tainan City","Y",1
2011,36,8,"Tainan City","Y",2
2015,36,8,"Tainan City","Y",1
2016,36,8,"Tainan City","Y",2
2003,36,9,"Tainan City","Y",1
2010,36,9,"Tainan City","Y",3
2014,36,9,"Tainan City","Y",1
2017,36,9,"Tainan City","Y",1
2001,37,9,"Tainan City","Y",2
2011,37,9,"Tainan City","Y",1
2014,37,9,"Tainan City","Y",2
2015,37,9,"Tainan City","Y",1
2017,37,9,"Tainan City","Y",1
2004,38,9,"Tainan City","Y",1
2010,38,9,"Tainan City","Y",1
2012,38,9,"Tainan City","Y",1
2013,38,9,"Tainan City","Y",1
2014,38,9,"Tainan City","Y",1
2003,39,9,"Tainan City","Y",1
2006,39,9,"Tainan City","Y",1
2007,39,9,"Tainan City","Y",4
2008,39,9,"Tainan City","Y",1
2010,39,9,"Tainan City","Y",1
2015,39,9,"Tainan City","Y",1
2010,40,9,"Tainan City","Y",2
2014,40,9,"Tainan City","Y",1
2007,40,10,"Tainan City","Y",1
2010,40,10,"Tainan City","Y",3
2014,40,10,"Tainan City","Y",1
2017,40,10,"Tainan City","Y",1
2007,41,10,"Tainan City","Y",1
2008,41,10,"Tainan City","Y",1
2014,41,10,"Tainan City","Y",2
2016,41,10,"Tainan City","Y",1
2002,42,10,"Tainan City","Y",1
2007,42,10,"Tainan City","Y",3
2008,42,10,"Tainan City","Y",1
2009,42,10,"Tainan City","Y",1
2014,42,10,"Tainan City","Y",1
2007,43,10,"Tainan City","Y",4
2008,43,10,"Tainan City","Y",1
2014,43,10,"Tainan City","Y",1
2016,43,10,"Tainan City","Y",2
2017,43,10,"Tainan City","Y",1
2000,44,10,"Tainan City","Y",1
2016,44,10,"Tainan City","Y",1
1998,45,11,"Tainan City","Y",1
2014,45,11,"Tainan City","Y",1
2016,45,11,"Tainan City","Y",1
2005,46,11,"Tainan City","Y",2
2007,46,11,"Tainan City","Y",1
2008,46,11,"Tainan City","Y",1
2009,46,11,"Tainan City","Y",1
2011,46,11,"Tainan City","Y",1
2012,46,11,"Tainan City","Y",1
2015,46,11,"Tainan City","Y",1
2017,46,11,"Tainan City","Y",1
2006,47,11,"Tainan City","Y",1
2007,47,11,"Tainan City","Y",1
2015,47,11,"Tainan City","Y",1
2017,47,11,"Tainan City","Y",1
2007,48,11,"Tainan City","Y",1
2011,48,11,"Tainan City","Y",1
2016,48,11,"Tainan City","Y",1
2010,49,11,"Tainan City","Y",1
2011,49,11,"Tainan City","Y",3
2016,49,11,"Tainan City","Y",2
2007,48,12,"Tainan City","Y",1
2001,49,12,"Tainan City","Y",1
2011,49,12,"Tainan City","Y",1
2012,49,12,"Tainan City","Y",1
2007,50,12,"Tainan City","Y",2
2009,50,12,"Tainan City","Y",1
2010,50,12,"Tainan City","Y",1
2016,50,12,"Tainan City","Y",1
2008,51,12,"Tainan City","Y",1
2015,52,12,"Tainan City","Y",4
2016,52,12,"Tainan City","Y",1
2013,53,12,"Tainan City","Y",1
