year,month,Y.M,MOI_County_living,local
1998,1,1998-01,Kaohsiung City,1
1998,2,1998-02,Kaohsiung City,1
1998,3,1998-03,Kaohsiung City,3
1998,4,1998-04,Kaohsiung City,1
1998,5,1998-05,Kaohsiung City,1
1998,6,1998-06,Kaohsiung City,3
1998,7,1998-07,Kaohsiung City,3
1998,8,1998-08,Kaohsiung City,2
1998,9,1998-09,Kaohsiung City,16
1998,10,1998-10,Kaohsiung City,10
1998,11,1998-11,Kaohsiung City,35
1998,12,1998-12,Kaohsiung City,30
1999,1,1999-01,Kaohsiung City,12
1999,2,1999-02,Kaohsiung City,1
1999,6,1999-06,Kaohsiung City,2
1999,7,1999-07,Kaohsiung City,9
1999,8,1999-08,Kaohsiung City,6
1999,12,1999-12,Kaohsiung City,3
2000,8,2000-08,Kaohsiung City,1
2001,7,2001-07,Kaohsiung City,1
2001,9,2001-09,Kaohsiung City,5
2001,10,2001-10,Kaohsiung City,77
2001,11,2001-11,Kaohsiung City,91
2001,12,2001-12,Kaohsiung City,42
2002,1,2002-01,Kaohsiung City,4
2002,2,2002-02,Kaohsiung City,2
2002,4,2002-04,Kaohsiung City,3
2002,5,2002-05,Kaohsiung City,5
2002,6,2002-06,Kaohsiung City,140
2002,7,2002-07,Kaohsiung City,623
2002,8,2002-08,Kaohsiung City,1019
2002,9,2002-09,Kaohsiung City,1213
2002,10,2002-10,Kaohsiung City,999
2002,11,2002-11,Kaohsiung City,600
2002,12,2002-12,Kaohsiung City,203
2003,1,2003-01,Kaohsiung City,34
2003,2,2003-02,Kaohsiung City,1
2003,3,2003-03,Kaohsiung City,2
2003,9,2003-09,Kaohsiung City,10
2003,10,2003-10,Kaohsiung City,21
2003,11,2003-11,Kaohsiung City,3
2004,9,2004-09,Kaohsiung City,6
2004,10,2004-10,Kaohsiung City,12
2004,11,2004-11,Kaohsiung City,19
2004,12,2004-12,Kaohsiung City,11
2005,1,2005-01,Kaohsiung City,6
2005,2,2005-02,Kaohsiung City,4
2005,8,2005-08,Kaohsiung City,18
2005,9,2005-09,Kaohsiung City,21
2005,10,2005-10,Kaohsiung City,30
2005,11,2005-11,Kaohsiung City,49
2005,12,2005-12,Kaohsiung City,8
2006,6,2006-06,Kaohsiung City,2
2006,7,2006-07,Kaohsiung City,50
2006,8,2006-08,Kaohsiung City,106
2006,9,2006-09,Kaohsiung City,166
2006,10,2006-10,Kaohsiung City,283
2006,11,2006-11,Kaohsiung City,228
2006,12,2006-12,Kaohsiung City,107
2007,1,2007-01,Kaohsiung City,13
2007,3,2007-03,Kaohsiung City,3
2007,6,2007-06,Kaohsiung City,2
2007,7,2007-07,Kaohsiung City,44
2007,8,2007-08,Kaohsiung City,16
2007,9,2007-09,Kaohsiung City,5
2007,10,2007-10,Kaohsiung City,26
2007,11,2007-11,Kaohsiung City,63
2007,12,2007-12,Kaohsiung City,9
2008,1,2008-01,Kaohsiung City,3
2008,6,2008-06,Kaohsiung City,5
2008,7,2008-07,Kaohsiung City,36
2008,8,2008-08,Kaohsiung City,68
2008,9,2008-09,Kaohsiung City,37
2008,10,2008-10,Kaohsiung City,130
2008,11,2008-11,Kaohsiung City,127
2008,12,2008-12,Kaohsiung City,18
2009,3,2009-03,Kaohsiung City,1
2009,7,2009-07,Kaohsiung City,4
2009,8,2009-08,Kaohsiung City,58
2009,9,2009-09,Kaohsiung City,36
2009,10,2009-10,Kaohsiung City,141
2009,11,2009-11,Kaohsiung City,317
2009,12,2009-12,Kaohsiung City,191
2010,1,2010-01,Kaohsiung City,36
2010,2,2010-02,Kaohsiung City,2
2010,3,2010-03,Kaohsiung City,2
2010,4,2010-04,Kaohsiung City,3
2010,5,2010-05,Kaohsiung City,2
2010,6,2010-06,Kaohsiung City,3
2010,7,2010-07,Kaohsiung City,2
2010,8,2010-08,Kaohsiung City,56
2010,9,2010-09,Kaohsiung City,223
2010,10,2010-10,Kaohsiung City,326
2010,11,2010-11,Kaohsiung City,275
2010,12,2010-12,Kaohsiung City,145
2011,1,2011-01,Kaohsiung City,10
2011,2,2011-02,Kaohsiung City,2
2011,7,2011-07,Kaohsiung City,3
2011,8,2011-08,Kaohsiung City,117
2011,9,2011-09,Kaohsiung City,124
2011,10,2011-10,Kaohsiung City,241
2011,11,2011-11,Kaohsiung City,455
2011,12,2011-12,Kaohsiung City,216
2012,1,2012-01,Kaohsiung City,7
2012,2,2012-02,Kaohsiung City,2
2012,5,2012-05,Kaohsiung City,2
2012,6,2012-06,Kaohsiung City,4
2012,7,2012-07,Kaohsiung City,12
2012,8,2012-08,Kaohsiung City,35
2012,9,2012-09,Kaohsiung City,85
2012,10,2012-10,Kaohsiung City,142
2012,11,2012-11,Kaohsiung City,167
2012,12,2012-12,Kaohsiung City,51
2013,1,2013-01,Kaohsiung City,5
2013,3,2013-03,Kaohsiung City,1
2013,7,2013-07,Kaohsiung City,1
2013,8,2013-08,Kaohsiung City,1
2013,9,2013-09,Kaohsiung City,2
2013,10,2013-10,Kaohsiung City,7
2013,11,2013-11,Kaohsiung City,32
2013,12,2013-12,Kaohsiung City,21
2014,1,2014-01,Kaohsiung City,1
2014,5,2014-05,Kaohsiung City,12
2014,6,2014-06,Kaohsiung City,92
2014,7,2014-07,Kaohsiung City,366
2014,8,2014-08,Kaohsiung City,937
2014,9,2014-09,Kaohsiung City,2192
2014,10,2014-10,Kaohsiung City,5328
2014,11,2014-11,Kaohsiung City,4787
2014,12,2014-12,Kaohsiung City,1284
2015,1,2015-01,Kaohsiung City,70
2015,2,2015-02,Kaohsiung City,10
2015,3,2015-03,Kaohsiung City,7
2015,4,2015-04,Kaohsiung City,5
2015,5,2015-05,Kaohsiung City,19
2015,6,2015-06,Kaohsiung City,31
2015,7,2015-07,Kaohsiung City,29
2015,8,2015-08,Kaohsiung City,438
2015,9,2015-09,Kaohsiung City,2107
2015,10,2015-10,Kaohsiung City,5134
2015,11,2015-11,Kaohsiung City,8914
2015,12,2015-12,Kaohsiung City,2959
2016,1,2016-01,Kaohsiung City,331
2016,2,2016-02,Kaohsiung City,7
2016,3,2016-03,Kaohsiung City,1
2016,4,2016-04,Kaohsiung City,1
2016,7,2016-07,Kaohsiung City,1
2016,8,2016-08,Kaohsiung City,1
2017,7,2017-07,Kaohsiung City,3
1998,1,1998-01,Pingtung County,1
1998,7,1998-07,Pingtung County,1
1998,8,1998-08,Pingtung County,1
1998,9,1998-09,Pingtung County,2
1998,10,1998-10,Pingtung County,1
1998,11,1998-11,Pingtung County,3
2000,1,2000-01,Pingtung County,2
2001,11,2001-11,Pingtung County,1
2002,7,2002-07,Pingtung County,3
2002,8,2002-08,Pingtung County,32
2002,9,2002-09,Pingtung County,53
2002,10,2002-10,Pingtung County,109
2002,11,2002-11,Pingtung County,138
2002,12,2002-12,Pingtung County,45
2003,1,2003-01,Pingtung County,10
2003,2,2003-02,Pingtung County,2
2004,7,2004-07,Pingtung County,10
2004,8,2004-08,Pingtung County,11
2004,9,2004-09,Pingtung County,55
2004,10,2004-10,Pingtung County,121
2004,11,2004-11,Pingtung County,70
2004,12,2004-12,Pingtung County,14
2005,1,2005-01,Pingtung County,2
2005,8,2005-08,Pingtung County,1
2005,10,2005-10,Pingtung County,1
2006,7,2006-07,Pingtung County,1
2006,8,2006-08,Pingtung County,2
2006,9,2006-09,Pingtung County,6
2006,11,2006-11,Pingtung County,1
2007,10,2007-10,Pingtung County,1
2008,1,2008-01,Pingtung County,1
2009,9,2009-09,Pingtung County,3
2009,10,2009-10,Pingtung County,23
2009,11,2009-11,Pingtung County,37
2009,12,2009-12,Pingtung County,13
2010,9,2010-09,Pingtung County,2
2010,10,2010-10,Pingtung County,2
2010,11,2010-11,Pingtung County,6
2011,8,2011-08,Pingtung County,3
2011,9,2011-09,Pingtung County,3
2011,10,2011-10,Pingtung County,51
2011,11,2011-11,Pingtung County,76
2011,12,2011-12,Pingtung County,16
2012,11,2012-11,Pingtung County,1
2013,4,2013-04,Pingtung County,10
2013,5,2013-05,Pingtung County,18
2013,6,2013-06,Pingtung County,26
2013,7,2013-07,Pingtung County,6
2013,8,2013-08,Pingtung County,14
2013,9,2013-09,Pingtung County,68
2013,10,2013-10,Pingtung County,72
2013,11,2013-11,Pingtung County,135
2013,12,2013-12,Pingtung County,126
2014,1,2014-01,Pingtung County,8
2014,2,2014-02,Pingtung County,1
2014,7,2014-07,Pingtung County,6
2014,8,2014-08,Pingtung County,11
2014,9,2014-09,Pingtung County,28
2014,10,2014-10,Pingtung County,77
2014,11,2014-11,Pingtung County,62
2014,12,2014-12,Pingtung County,30
2015,1,2015-01,Pingtung County,4
2015,7,2015-07,Pingtung County,3
2015,8,2015-08,Pingtung County,16
2015,9,2015-09,Pingtung County,63
2015,10,2015-10,Pingtung County,74
2015,11,2015-11,Pingtung County,148
2015,12,2015-12,Pingtung County,94
2016,1,2016-01,Pingtung County,20
2016,6,2016-06,Pingtung County,1
1998,8,1998-08,Tainan City,1
1998,10,1998-10,Tainan City,3
1998,11,1998-11,Tainan City,59
1998,12,1998-12,Tainan City,64
1999,1,1999-01,Tainan City,6
1999,4,1999-04,Tainan City,1
1999,12,1999-12,Tainan City,1
2000,6,2000-06,Tainan City,1
2000,7,2000-07,Tainan City,3
2000,8,2000-08,Tainan City,35
2000,9,2000-09,Tainan City,43
2000,10,2000-10,Tainan City,20
2000,11,2000-11,Tainan City,6
2000,12,2000-12,Tainan City,1
2001,8,2001-08,Tainan City,1
2002,8,2002-08,Tainan City,7
2002,9,2002-09,Tainan City,20
2002,10,2002-10,Tainan City,26
2002,11,2002-11,Tainan City,25
2002,12,2002-12,Tainan City,4
2003,1,2003-01,Tainan City,2
2004,11,2004-11,Tainan City,4
2005,8,2005-08,Tainan City,2
2005,10,2005-10,Tainan City,22
2005,11,2005-11,Tainan City,22
2005,12,2005-12,Tainan City,14
2006,1,2006-01,Tainan City,2
2006,9,2006-09,Tainan City,1
2006,10,2006-10,Tainan City,5
2007,6,2007-06,Tainan City,39
2007,7,2007-07,Tainan City,120
2007,8,2007-08,Tainan City,188
2007,9,2007-09,Tainan City,190
2007,10,2007-10,Tainan City,551
2007,11,2007-11,Tainan City,555
2007,12,2007-12,Tainan City,161
2008,1,2008-01,Tainan City,17
2008,3,2008-03,Tainan City,3
2008,7,2008-07,Tainan City,1
2008,8,2008-08,Tainan City,2
2008,10,2008-10,Tainan City,1
2008,11,2008-11,Tainan City,3
2009,10,2009-10,Tainan City,5
2009,11,2009-11,Tainan City,2
2009,12,2009-12,Tainan City,3
2010,8,2010-08,Tainan City,17
2010,9,2010-09,Tainan City,117
2010,10,2010-10,Tainan City,237
2010,11,2010-11,Tainan City,98
2010,12,2010-12,Tainan City,18
2011,1,2011-01,Tainan City,1
2011,2,2011-02,Tainan City,2
2011,8,2011-08,Tainan City,1
2011,9,2011-09,Tainan City,5
2011,10,2011-10,Tainan City,29
2011,11,2011-11,Tainan City,31
2011,12,2011-12,Tainan City,26
2012,1,2012-01,Tainan City,3
2012,4,2012-04,Tainan City,4
2012,5,2012-05,Tainan City,9
2012,6,2012-06,Tainan City,5
2012,7,2012-07,Tainan City,25
2012,8,2012-08,Tainan City,74
2012,9,2012-09,Tainan City,308
2012,10,2012-10,Tainan City,194
2012,11,2012-11,Tainan City,86
2012,12,2012-12,Tainan City,36
2013,1,2013-01,Tainan City,9
2013,2,2013-02,Tainan City,1
2013,10,2013-10,Tainan City,1
2013,11,2013-11,Tainan City,21
2013,12,2013-12,Tainan City,6
2014,1,2014-01,Tainan City,3
2014,2,2014-02,Tainan City,1
2014,7,2014-07,Tainan City,3
2014,8,2014-08,Tainan City,4
2014,9,2014-09,Tainan City,11
2014,10,2014-10,Tainan City,40
2014,11,2014-11,Tainan City,76
2014,12,2014-12,Tainan City,18
2015,1,2015-01,Tainan City,1
2015,5,2015-05,Tainan City,3
2015,6,2015-06,Tainan City,18
2015,7,2015-07,Tainan City,298
2015,8,2015-08,Tainan City,3946
2015,9,2015-09,Tainan City,12814
2015,10,2015-10,Tainan City,4818
2015,11,2015-11,Tainan City,781
2015,12,2015-12,Tainan City,81
2016,1,2016-01,Tainan City,6
2016,3,2016-03,Tainan City,1
2016,7,2016-07,Tainan City,2
2016,9,2016-09,Tainan City,1
